p1,p2,label_x,label_y,cat
http://purl.obolibrary.org/obo/HP_0009124,http://purl.obolibrary.org/obo/MP_0000003,Abnormal adipose tissue morphology (HPO),abnormal adipose tissue morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008551,http://purl.obolibrary.org/obo/MP_0000018,Microtia (HPO),small ears (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000411,http://purl.obolibrary.org/obo/MP_0000021,Protruding ear (HPO),prominent ears (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000375,http://purl.obolibrary.org/obo/MP_0000031,Abnormal cochlea morphology (HPO),abnormal cochlea morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009910,http://purl.obolibrary.org/obo/MP_0000040,Aplasia of the middle ear ossicles (HPO),absent middle ear ossicles (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002659,http://purl.obolibrary.org/obo/MP_0000061,Increased susceptibility to fractures (HPO),fragile skeleton (MPO),lexical
http://purl.obolibrary.org/obo/HP_0004349,http://purl.obolibrary.org/obo/MP_0000063,Reduced bone mineral density (HPO),decreased bone mineral density (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011002,http://purl.obolibrary.org/obo/MP_0000067,Osteopetrosis (HPO),osteopetrosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001363,http://purl.obolibrary.org/obo/MP_0000081,Craniosynostosis (HPO),premature cranial suture closure (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000260,http://purl.obolibrary.org/obo/MP_0000085,Wide anterior fontanel (HPO),large anterior fontanelle (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009939,http://purl.obolibrary.org/obo/MP_0000087,Mandibular aplasia (HPO),absent mandible (MPO),lexical
http://purl.obolibrary.org/obo/HP_0100629,http://purl.obolibrary.org/obo/MP_0000108,Midline facial cleft (HPO),midline facial cleft (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000175,http://purl.obolibrary.org/obo/MP_0000111,Cleft palate (HPO),cleft palate (MPO),lexical
http://purl.obolibrary.org/obo/HP_0400001,http://purl.obolibrary.org/obo/MP_0000114,Chin with vertical crease (HPO),cleft chin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0006288,http://purl.obolibrary.org/obo/MP_0000122,Advanced eruption of teeth (HPO),premature tooth eruption (MPO),lexical
http://purl.obolibrary.org/obo/HP_0100671,http://purl.obolibrary.org/obo/MP_0000130,Abnormal trabecular bone morphology (HPO),abnormal trabecular bone morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000921,http://purl.obolibrary.org/obo/MP_0000151,Missing ribs (HPO),absent ribs (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003307,http://purl.obolibrary.org/obo/MP_0000162,Hyperlordosis (HPO),lordosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002763,http://purl.obolibrary.org/obo/MP_0000163,Abnormal cartilage morphology (HPO),abnormal cartilage morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031851,http://purl.obolibrary.org/obo/MP_0000208,Reduced hematocrit (HPO),decreased hematocrit (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001974,http://purl.obolibrary.org/obo/MP_0000218,Leukocytosis (HPO),increased leukocyte cell number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011897,http://purl.obolibrary.org/obo/MP_0000219,Neutrophilia (HPO),increased neutrophil cell number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001882,http://purl.obolibrary.org/obo/MP_0000221,Leukopenia (HPO),decreased leukocyte cell number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025065,http://purl.obolibrary.org/obo/MP_0000226,Abnormal mean corpuscular volume (HPO),abnormal mean corpuscular volume (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000822,http://purl.obolibrary.org/obo/MP_0000231,Hypertension (HPO),hypertension (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001978,http://purl.obolibrary.org/obo/MP_0000240,Extramedullary hematopoiesis (HPO),extramedullary hematopoiesis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001336,http://purl.obolibrary.org/obo/MP_0000243,Myoclonus (HPO),myoclonus (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001627,http://purl.obolibrary.org/obo/MP_0000266,Abnormal heart morphology (HPO),abnormal heart morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001679,http://purl.obolibrary.org/obo/MP_0000272,Abnormal aortic morphology (HPO),abnormal aorta morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001667,http://purl.obolibrary.org/obo/MP_0000276,Right ventricular hypertrophy (HPO),heart right ventricle hypertrophy (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001719,http://purl.obolibrary.org/obo/MP_0000284,Double outlet right ventricle (HPO),double outlet right ventricle (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001633,http://purl.obolibrary.org/obo/MP_0000286,Abnormal mitral valve morphology (HPO),abnormal mitral valve morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001981,http://purl.obolibrary.org/obo/MP_0000314,Schistocytosis (HPO),schistocytosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0032310,http://purl.obolibrary.org/obo/MP_0000322,Granulocytosis (HPO),increased granulocyte number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012543,http://purl.obolibrary.org/obo/MP_0000327,Hemosiderinuria (HPO),hemosiderinuria (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001913,http://purl.obolibrary.org/obo/MP_0000334,Granulocytopenia (HPO),decreased granulocyte number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012234,http://purl.obolibrary.org/obo/MP_0000334,Agranulocytosis (HPO),decreased granulocyte number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031377,http://purl.obolibrary.org/obo/MP_0000350,Abnormal cell proliferation (HPO),abnormal cell proliferation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025084,http://purl.obolibrary.org/obo/MP_0000376,Folliculitis (HPO),folliculitis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002212,http://purl.obolibrary.org/obo/MP_0000410,Curly hair (HPO),waved hair (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001596,http://purl.obolibrary.org/obo/MP_0000414,Alopecia (HPO),alopecia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011457,http://purl.obolibrary.org/obo/MP_0000425,Loss of eyelashes (HPO),loss of eyelid cilia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000252,http://purl.obolibrary.org/obo/MP_0000433,Microcephaly (HPO),microcephaly (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000256,http://purl.obolibrary.org/obo/MP_0000434,Macrocephaly (HPO),megacephaly (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002457,http://purl.obolibrary.org/obo/MP_0000436,Abnormal head movements (HPO),abnormal head movements (MPO),lexical
http://purl.obolibrary.org/obo/HP_0030791,http://purl.obolibrary.org/obo/MP_0000454,Abnormal jaw morphology (HPO),abnormal jaw morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000347,http://purl.obolibrary.org/obo/MP_0000460,Micrognathia (HPO),mandible hypoplasia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002031,http://purl.obolibrary.org/obo/MP_0000467,Abnormal esophagus morphology (HPO),abnormal esophagus morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002242,http://purl.obolibrary.org/obo/MP_0000477,Abnormal intestine morphology (HPO),abnormal intestine morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031855,http://purl.obolibrary.org/obo/MP_0000508,Right isomerism (HPO),right-sided isomerism (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000126,http://purl.obolibrary.org/obo/MP_0000519,Hydronephrosis (HPO),hydronephrosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0010958,http://purl.obolibrary.org/obo/MP_0000520,Bilateral renal agenesis (HPO),absent kidney (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000803,http://purl.obolibrary.org/obo/MP_0000522,Renal cortical cysts (HPO),kidney cortex cysts (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001947,http://purl.obolibrary.org/obo/MP_0000525,Renal tubular acidosis (HPO),renal tubular acidosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000072,http://purl.obolibrary.org/obo/MP_0000536,Hydroureter (HPO),hydroureter (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000021,http://purl.obolibrary.org/obo/MP_0000539,Megacystis (HPO),distended urinary bladder (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031854,http://purl.obolibrary.org/obo/MP_0000542,Left Isomerism (HPO),left-sided isomerism (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009826,http://purl.obolibrary.org/obo/MP_0000547,Limb undergrowth (HPO),short limbs (MPO),lexical
http://purl.obolibrary.org/obo/HP_0004231,http://purl.obolibrary.org/obo/MP_0000555,Carpal bone aplasia (HPO),absent carpal bone (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009776,http://purl.obolibrary.org/obo/MP_0000561,Adactyly (HPO),adactyly (MPO),lexical
